tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 I have joined the i4India movement by donating to PM Cares fund Let create a chain to break the chainof coronavirus No amount is small Every rupee counts If you donate on PhonePe they will add Rs more even if you donate just Re to donate,DONATION,DONATION,Donation,1,DONATION
 I have joined the i4India movement by donating to PM Cares fund Let create a chain to break the chain of coronavirus No amount is small Every rupee counts If you donate on PhonePe They will add Re 10 more even if you donate just Re 1Click to donate,DONATION,DONATION,Donation,1,DONATION
 current Novel Coronavirus situation in the country at at Nation please join i4 India donate Karen Phonepe IndiaFightsCorona COVID19Pandemic,REQUEST,REQUEST,Request,1,REQUEST
 I Have Joined the i4india Movement by Donating to PMCaresFund Let Create a chain To Break the chain of CoronaVirus If you donate on Phonepe they will add RS 10 more even if you,DONATION,DONATION,Donation,1,DONATION
 Good way to contribute money And help to poor people in dangerous time of india Corona virus is a dangerous dieses for whole world Big hero Mr AkshayKumar donate money PMCARES fund,APPRECIATION,APPRECIATION,Donation,0,APPRECIATION
 The worldAAAs workers are reeling from the initial shock of the coronavirus recession with job losses and welfare claims around the globe already running into the millions this week,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Hey PhonePe_ I thought coronavirus expenses are bore by Govt Is it not MoHFW_INDIA drharshvardhan TelanganaHealth,QUESTION,QUESTION,,0,QUESTION
 i4India Kamal74991982 PhonePe_ PMCaresFund To overcome the crisis of Corona Virus request each and every indian to contribute to PM CARES as per their limits To Donate AAA,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 It is settled by all of you that today our country is plagued by Corona virus epidemic whoever wants to donate to Prime Minister Fund all of them should do it through Phonepe Jai Hind,DONATION,DONATION,Donation,1,DONATION
 Phone pe has rolled out Corona virus insurance of Rs which includes hospitalization at Rs Interesting AAAA covidindia coronaupdatesindia PhonePe IndiaFightsCoronavirus IndiaVsCorona,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 joined the i4India movement by donating to PM Cares fund nominate more friends to do the same Let create a chain to break the chain of coronavirus Every rupee counts If you donate on PhonePe even if you donate just Re Click to donate AAA,DONATION,DONATION,,0,DONATION
 Phonepe has Launched coronavirus Insurance,INFORMATION,INFORMATION,Donation,0,DONATION
 Come on India Let fight the Coronavirus together Join the i4India Movement and Donate to the PMCARESFund on PhonePe When we stand together for India no fight is too big no act too small i4India EachRupeeCounts Donate here,DONATION,DONATION,Help Covid-19,1,DONATION
 PMCARES Citizens who want to donate funds and help the government in fighting against the coronavirus in India make a contribution Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm Mobiwik etc and RTGS NEFT,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ In newspapers phone pe app it is shown that Corona virus insurance policy Best job phonepe ,APPRECIATION,APPRECIATION,,0,APPRECIATION
 Jai hind Phonepe team support Corona virus against,APPRECIATION,APPRECIATION,,0,APPRECIATION
 PhonePe_ Please donate to PMCARES Fund IndiaAAAs fight against Coronavirus AAAA BeSafeGoDigital PMCaresFunds AkshayKumar pmoindia i4India UPI_NPCI diljitdosanjh mankirtaulakh AAA,DONATION,DONATION,Request,1,DONATION
 COVID2019 coronavirus,NULL,NULL,,1,NULL
 Respected all in this critical situation when the world is struggling and fighting against Corona Virus it becomes our duty to contribute our bit for the welfare of our own people Let us donate in the p m relief fund and fulfil our duty towards our nation PhonePe_ i4India,DONATION,DONATION,Request,1,DONATION
 Phonepe i4india Donate using phonepe app to PMCARES fund and help people fighting from coronavirus Kindly share this with your family and friends and DONATE Our donation may saves someone life,DONATION,DONATION,Donation,1,DONATION
 i4India movement has crossed an amazing milestone One Million donors in days on PhonePe_ Humanity is spreading much faster than CoronaVirus in our country So StayAtHome donate to PMCaresFund EveryRupeeCounts narendramodi,DONATION,DONATION,Help Covid-19,1,DONATION
 Great job done by phone pe Let donate in pm relief fund for our Indian family and fight against corona virus AAA,DONATION,APPRECIATION,Appreciation,1,APPRECIATION
 Great job done by phone pe Let donate in pm relief fund for our Indian family and fight against corona virus,DONATION,APPRECIATION,Appreciation,1,APPRECIATION
 PMCARES Citizens who want to donate funds and help the government in fighting against the coronavirus in India can visit the official website and make a contribution Payments can be made through debit and credit cards internet banking UPI PhonePe,DONATION,DONATION,Donation,1,DONATION
 Come on India Let fight the Coronavirus together Join our and donate to the PMCARES FUND Remember no contribution is too small We add Rs 10 to each individual donation LetAAAs get crore donors we pledge to add Rs crores on top PhonePe,DONATION,DONATION,Request,1,DONATION
 Class exam ke baad apne hometown chali gayi thi permanently Aur yahan class start ho gayi thi Maine section A se G change kara liya tha apna Uski dost ne usko phone pe bataya- Class mein naya ladka aaya hai padhne mein accha hai Fir vo vaapas aa gayi,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Corona virus Crisis cases We are distributing foodboxs Groceries biscuits masks Who is helpless Needy   We welcome your Contributions Please help   This kind of timE Please donate this UPI ID prjk45 oksbi G Pay Phone Pe please help please   AAAA,DONATION,DONATION,Help Covid-19,1,DONATION
 Cash me deal karo toh coronavirus ka darr PhonePe_ use kro toh payment fasne ka darr What to do PhonePeSupport RBI Paytm,COMPLAINT,COMPLAINT,question,0,COMPLAINT
 PhonePe launches coronavirus hospitalisation insurance policy Care  For this it has partnered with bajaj allianz general insurance one of the country largest general insurance companies phonepe news,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Coronavirus PhonePe launches donation drive aims to contribute Rs Cr to PM Fund,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 PhonePe has announced the launch of a unique coronavirus hospitalisation insurance policy called AAACorona Care AAA It has partnered with Bajaj Allianz General Insurance It can be done through the My Money section in phonepay app,INFORMATION,INFORMATION,Help Covid-19,0,FRAUD
 PhonePe Donations Cr And Phonepe adds Rs to each contribution Total May be around Cr Till now  Contribute it if u didnt till now COVID19Pandemic PMCaresFund coronavirus,INFORMATION,INFORMATION,Donation,0,DONATION
 PMCARES Citizens who want to donate funds and help the govt in fighting coronavirus can visit the official website make a contribution through debit credit cards net banking UPI BHIM PhonePe AmazonPay GooglePay Paytm Mobiwik etc RTGS NEFT,DONATION,DONATION,Donation,1,DONATION
 WMT owned phonepe offers coronavirus specific insurance M likely to sign up itm_source inc42-sponsored-content itm_medium website itm_campaign sponsored-content,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PMCARES Citizens who want to donate funds and help the government in fighting against the coronavirus in India can make a contribution Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm Mobiwik etc and RTGS NEFT,DONATION,DONATION,Donation,1,DONATION
 StartupsVsCovid19 PhonePe Brings Corona Care Insurance For INR news coronavirus,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PhonePe has launched a coronavirus hospitalisation insurance policy called Care in partnership with Bajaj Allianz General Insurance PhonePe_ BajajAllianz StayAtHomeSaveLives AAA,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PhonePe Launches Coronavirus Insurance Policy Offers Rs Medical Cover At Rs Check Details AAA,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PMCARES Citizens who want to donate funds and help govt in fighting against coronavirus in India can visit official website Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm Mobiwik,DONATION,DONATION,Donation,1,DONATION
 PhonePe launches coronavirus hospitalisation insurance policy Care AAA,PUBLICITY,PUBLICITY,Help Covid-19,0,HELP-COVID19
 PhonePe_ users can purchase their Coronavirus insurance policy under the AAAMy MoneyAAA section on the PhonePe app Know more about the policy here PeerzadaAbrar reports CoronavirusOutbreak,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Phonepe- Get Coronavirus Insurance at Just Rs 156 and Get Cover up to Rs,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Citizens who want to donate funds and help the government in fighting against the coronavirus in India can visit the official website and make a contribution Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe,DONATION,DONATION,Donation,1,DONATION
 COVIDAAA19 coronavirus COVID19Pandemic Appeal From JIH Govandi for Relief Work You can Donate from UPI Bank Account PhonePe Gpay You can donate your amount via UPI also on A c Number IFSC code A c Name Atiqur Rahman,DONATION,DONATION,Donation,1,DONATION
 PMCARES Citizens who help the govt in f against coronavirus in India visit the website and Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm Mobiwik etc and RTGS NEFT via NaMo,DONATION,DONATION,,0,DONATION
 ABP News ABPNews PhonePe Launches hashtag Coronavirus Insurance Policy Offers Rs Medical Cover At Rs,PUBLICITY,PUBLICITY,,0,PUBLICITY
 Phonepe- Get Coronavirus Insurance at Just Rs 156 and Get Cover up to Rs AAA,INFORMATION,INFORMATION,Help Covid-19,0,DONATION
 PhonePe Launches Coronavirus Insurance Policy Offers Rs Medical Cover At Rs Details AAA,INFORMATION,INFORMATION,Help Covid-19,0,DONATION
 PhonePe launches coronavirus insurance policy at Rs PhonePe Phonepesupport CoronavirusOutbreak coronavirus PhonePe_ PhonePeSupport Phonepe,INFORMATION,INFORMATION,Help Covid-19,0,DONATION
 PMCARES Citizens who want donate funds help government in fighting against the coronavirus in India can visit official website make a contribution Payments can be made through debit credit cards internet banking UPI BHIM PhonePe Amz Pay etc,DONATION,DONATION,Donation,1,DONATION
 PhonePe Has Launched a Coronavirus Insurance Policy For Rs With Rs Cover livenewsindia,INFORMATION,INFORMATION,Help Covid-19,0,INFORMATION
 Citizens who want to donate funds and help the government in fighting against the coronavirus in India can visit the official website through debit and credit cards internet banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm Mobiwik RTGS NEFT,DONATION,DONATION,Donation,1,DONATION
 Hi Pradeep the Coronavirus Insurance is a new Insurance product launched exclusively on PhonePe You get covered under this insurance if you are quarantined or if you are diagnosed with Coronavirus The product offers hospitalization expenses up to AAA AAASS,QUERY ANSWER,QUERY ANSWER,Help Covid-19,0,QUERY ANSWER
 Hi Bhoopendra we request you to update the app to the latest version Post that click on Money on the Homepage of the PhonePe app Select Coronavirus Insurance icon under AAAInsuranceAAA You can check the benefits and T Cs by clicking on AAAGet this policyAAA,QUERY ANSWER,QUERY ANSWER,Request,0,QUERY ANSWER
 Select Coronavirus Insurance icon under AAAInsuranceAAA You can check the benefits and T Cs by clicking on AAAGet this policyAAA Fill in the required fields and click on Make the payment You now insured AAASS,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 PhonePe Introducing Coronavirus Insuramce at Just Rs Stay safeAAAAAAAA UPI Chalega PhonePe karoAAAAAAAAAAA sujitmohanty85 Kamal74991982 Amit3Das AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 My little Contribution for My Nation in fighting against Corona virus Panedemic COVID2019india PhonePe_ ravikishann narendramodi HDFC_Bank ICICIBank,DONATION,DONATION,Help Covid-19,1,DONATION
 Help poor and needy families during this lockdown due to CORONAVIRUS Gpay or Phone pe Regards Noori Foundation Bangalore India HelpFightCorona COVID lockdown CoronavirusOutbreak CoronaCrisisCharity Corona coronovirusindia,DONATION,DONATION,Help Covid-19,1,DONATION
 Mr  Shivam for your kind information PhonePe is not making any commission by selling this coronavirus insurance policy,QUERY ANSWER,QUERY ANSWER,Help Covid-19,1,QUERY ANSWER
 Introducing IndiaAAAs first Coronavirus Insurance hospitalisation covet just Ra 156 We are letting go all commissions on this product to make it the most affordable product for our customers PhonePe_ i4india AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 PhonePe CoronaVirus Insurance Cover upto AAA50K in AAA156 AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 PhonePe Corona Virus Insurance anta AAAAAAAA,INFORMATION,INFORMATION,,0,INFORMATION
 PhonePe_ got call on d name of corona virus amnt to be credtd on my ac but got msg like rs will be debited msg- AVENUES INDIA PVT LTD has requested money from you on PhonePe Rs 1000 will be debited from your account on approving the request,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Amid corona virus still people are n t fed up of doing fraud PhonePeSupport PhonePe_ I got call from this number asking me my details and do some correction in my account etc,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 OMG Then CoronaVirus itself is better The amount of UnsolicitedCommercialCommunication and bad CustomerService of Bajaj_Finserv Bajaj_Finance BajajAllianz drives one to make this decision ,COMPLAINT,COMPLAINT,,0,COMPLAINT
 Due to Corona virus there are many people here who have not eaten food for days so you can help some money  phone pe,DONATION,DONATION,Help Covid-19,1,DONATION
 boycottmobikwik people kindly find my concern how shit mobikwik services are kindly help me too join boycottmobikwik Sorry AAAA to reach more people I used this tag coronavirus,NULL,NULL,,1,NULL
 Who is the insurance company offering coverage for coronavirus PhonePe_,QUESTION,QUESTION,question,1,QUESTION
